TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,95.88,158.62,48.17,32.12,10.72,0.58,18.4,January,Winter,Christmas & New Year,217.65931034482756,Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-01 01:00:00,99.06,163.0,47.35,32.18,10.14,0.57,21.95,January,Winter,Christmas & New Year,228.5151724137931,Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-01 02:00:00,98.88,164.25,30.78,24.22,8.57,0.57,26.27,January,Winter,Christmas & New Year,227.90068965517239,Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-01 03:00:00,96.46,160.12,42.85,29.57,8.88,0.49,19.49,January,Winter,Christmas & New Year,219.63931034482755,Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-01 04:00:00,94.88,156.25,39.23,29.17,8.5,0.46,16.64,January,Winter,Christmas & New Year,214.2455172413793,Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-01 05:00:00,94.06,157.19,37.92,29.94,8.53,0.49,17.95,January,Winter,Christmas & New Year,211.44620689655173,Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-01 06:00:00,87.69,146.88,37.88,29.58,8.14,0.61,16.64,January,Winter,Christmas & New Year,192.11413793103446,Moderate,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-01 07:00:00,88.19,150.69,36.73,29.44,8.01,0.64,34.68,January,Winter,Christmas & New Year,193.8210344827586,Moderate,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-01 08:00:00,85.12,148.31,36.11,28.17,7.9,0.57,26.9,January,Winter,Christmas & New Year,183.3406896551724,Moderate,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-01 09:00:00,79.0,141.31,34.21,28.99,8.74,0.49,22.61,January,Winter,Christmas & New Year,162.44827586206895,Moderate,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-01 10:00:00,77.81,134.94,38.41,25.78,6.68,0.42,26.04,January,Winter,Christmas & New Year,158.38586206896554,Moderate,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-01 11:00:00,91.69,151.31,41.27,25.78,8.31,0.46,30.5,January,Winter,Christmas & New Year,203.3555172413793,Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-01 12:00:00,102.44,180.06,43.87,29.86,8.22,0.94,37.44,January,Winter,Christmas & New Year,240.05379310344827,Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-01 13:00:00,118.4,210.62,52.24,31.47,9.71,0.96,44.0,January,Winter,Christmas & New Year,294.53793103448277,Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-01 14:00:00,135.94,238.81,52.34,30.97,8.64,0.91,39.71,January,Winter,Christmas & New Year,312.46558139534886,Very Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-01 15:00:00,126.0,241.31,48.94,30.51,8.66,0.81,39.13,January,Winter,Christmas & New Year,304.83720930232556,Very Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-01 16:00:00,113.81,220.94,43.04,29.99,9.24,1.03,28.67,January,Winter,Christmas & New Year,278.8686206896552,Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-01 17:00:00,117.44,211.75,47.62,31.48,10.5,1.11,17.47,January,Winter,Christmas & New Year,291.2606896551724,Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-01 18:00:00,127.14,234.0,55.16,31.82,10.32,1.18,10.34,January,Winter,Christmas & New Year,305.7120930232558,Very Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-01 19:00:00,147.5,271.19,60.71,32.22,14.77,1.08,9.05,January,Winter,Christmas & New Year,321.33720930232556,Very Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-01 20:00:00,169.56,320.38,63.06,32.84,16.23,1.0,7.55,January,Winter,Christmas & New Year,338.2669767441861,Very Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-01 21:00:00,187.75,350.81,62.88,33.56,21.97,0.84,7.15,January,Winter,Christmas & New Year,352.2267441860465,Very Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-01 22:00:00,178.06,329.38,61.5,32.56,21.3,1.06,8.24,January,Winter,Christmas & New Year,344.79023255813956,Very Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-01 23:00:00,168.19,321.38,63.44,32.38,25.55,0.63,7.82,January,Winter,Christmas & New Year,337.21558139534886,Very Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-02 00:00:00,169.19,309.38,59.84,31.31,21.51,0.28,8.4,January,Winter,Christmas & New Year,337.983023255814,Very Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-02 01:00:00,160.25,280.19,52.51,29.97,17.53,0.13,8.64,January,Winter,Christmas & New Year,331.12209302325584,Very Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-02 02:00:00,132.38,228.12,29.1,22.93,8.04,0.08,12.24,January,Winter,Christmas & New Year,309.733488372093,Very Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-02 03:00:00,103.44,178.56,40.22,28.02,7.59,0.16,11.44,January,Winter,Christmas & New Year,243.46758620689656,Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-02 04:00:00,97.25,166.44,39.37,27.51,8.18,0.16,11.28,January,Winter,Christmas & New Year,222.33620689655172,Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-02 05:00:00,89.58,154.69,36.08,28.02,8.29,0.24,13.43,January,Winter,Christmas & New Year,198.5662068965517,Moderate,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-02 06:00:00,67.62,118.38,33.96,26.69,6.6,0.25,14.83,January,Winter,Christmas & New Year,123.5993103448276,Moderate,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-02 07:00:00,56.67,100.75,39.58,32.19,5.23,0.26,15.15,January,Winter,Christmas & New Year,94.37344827586207,Satisfactory,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-02 08:00:00,52.19,97.38,41.33,31.71,6.45,0.26,13.54,January,Winter,Christmas & New Year,97.38,Satisfactory,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-02 09:00:00,64.19,122.06,37.74,26.64,6.85,0.62,21.07,January,Winter,Christmas & New Year,114.99288590604027,Moderate,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-02 10:00:00,70.56,136.69,29.2,24.49,69.13,0.83,25.31,January,Winter,Christmas & New Year,133.63586206896554,Moderate,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-02 11:00:00,68.0,128.88,36.93,26.02,9.63,0.88,33.07,January,Winter,Christmas & New Year,124.89655172413794,Moderate,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-02 12:00:00,77.19,140.19,37.84,27.29,10.38,1.21,44.57,January,Winter,Christmas & New Year,156.26931034482757,Moderate,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-02 13:00:00,80.36,153.0,37.66,29.56,9.1,1.12,46.86,January,Winter,Christmas & New Year,167.09103448275863,Moderate,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-02 14:00:00,74.94,150.88,36.07,28.91,9.48,0.86,53.71,January,Winter,Christmas & New Year,148.58827586206894,Moderate,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-02 15:00:00,71.12,145.0,36.51,29.22,9.6,0.83,54.09,January,Winter,Christmas & New Year,135.54758620689657,Moderate,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-02 16:00:00,75.81,144.94,40.71,29.62,8.74,0.82,50.64,January,Winter,Christmas & New Year,151.55827586206897,Moderate,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-02 17:00:00,90.71,164.69,59.61,32.34,7.08,1.19,28.12,January,Winter,Christmas & New Year,143.3175167785235,Moderate,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-02 18:00:00,124.88,239.56,83.82,34.31,8.36,1.9,10.44,January,Winter,Christmas & New Year,303.97767441860464,Very Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-02 19:00:00,176.92,333.38,87.37,34.64,10.41,2.18,10.59,January,Winter,Christmas & New Year,343.9153488372093,Very Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-02 20:00:00,179.25,335.75,82.54,36.52,20.32,1.83,12.06,January,Winter,Christmas & New Year,345.70348837209303,Very Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-02 21:00:00,166.06,302.75,69.19,36.39,22.63,1.24,7.64,January,Winter,Christmas & New Year,335.58093023255816,Very Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-02 22:00:00,131.94,221.33,60.91,34.61,18.48,1.18,6.54,January,Winter,Christmas & New Year,309.39581395348836,Very Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-02 23:00:00,114.06,194.12,54.49,32.91,13.65,0.87,6.57,January,Winter,Christmas & New Year,279.7220689655172,Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-03 00:00:00,98.19,170.75,50.88,31.4,9.56,0.88,6.69,January,Winter,Christmas & New Year,225.5451724137931,Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-03 01:00:00,89.0,157.25,50.04,31.06,8.87,0.8,7.4,January,Winter,Christmas & New Year,196.58620689655172,Moderate,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-03 02:00:00,80.38,136.75,27.84,25.85,7.98,1.0,9.52,January,Winter,Christmas & New Year,167.1593103448276,Moderate,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-03 03:00:00,70.31,117.94,38.16,29.25,7.81,0.87,11.53,January,Winter,Christmas & New Year,132.78241379310344,Moderate,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-03 04:00:00,63.75,103.94,35.39,28.87,7.0,0.82,11.99,January,Winter,Christmas & New Year,110.38793103448276,Moderate,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-03 05:00:00,61.69,101.12,34.21,30.26,6.71,0.88,12.93,January,Winter,Christmas & New Year,103.3555172413793,Moderate,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-03 06:00:00,56.75,93.0,33.66,29.95,6.15,0.92,18.59,January,Winter,Christmas & New Year,94.50862068965517,Satisfactory,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-03 07:00:00,54.31,86.0,35.08,29.82,5.74,0.95,20.96,January,Winter,Christmas & New Year,90.38586206896552,Satisfactory,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-03 08:00:00,57.94,94.5,37.76,29.99,4.82,0.98,14.9,January,Winter,Christmas & New Year,96.51931034482757,Satisfactory,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-03 09:00:00,68.56,121.25,45.69,31.5,5.54,1.06,11.21,January,Winter,Christmas & New Year,126.80827586206897,Moderate,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-03 10:00:00,88.88,160.06,39.65,29.4,12.08,2.36,16.1,January,Winter,Christmas & New Year,196.1765517241379,Moderate,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-03 11:00:00,107.94,189.81,36.82,28.5,5.67,1.42,39.46,January,Winter,Christmas & New Year,258.82965517241377,Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-03 12:00:00,126.5,210.62,51.52,31.09,5.55,1.38,29.75,January,Winter,Christmas & New Year,305.22093023255815,Very Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-03 13:00:00,137.12,216.69,47.58,32.96,6.02,1.56,21.49,January,Winter,Christmas & New Year,313.37116279069767,Very Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-03 14:00:00,135.19,214.75,49.42,34.54,7.58,1.53,26.7,January,Winter,Christmas & New Year,311.89,Very Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-03 15:00:00,128.69,208.1,48.45,34.15,6.83,1.49,29.64,January,Winter,Christmas & New Year,306.9016279069767,Very Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-03 16:00:00,127.38,205.94,49.11,33.06,5.78,1.52,28.91,January,Winter,Christmas & New Year,305.89627906976744,Very Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-03 17:00:00,135.06,215.38,53.5,33.64,5.54,1.25,21.58,January,Winter,Christmas & New Year,311.79023255813956,Very Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-03 18:00:00,152.31,244.69,66.0,38.82,6.8,1.86,15.66,January,Winter,Christmas & New Year,325.0286046511628,Very Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-03 19:00:00,192.75,307.62,68.9,39.74,8.08,2.46,8.12,January,Winter,Christmas & New Year,356.0639534883721,Very Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-03 20:00:00,233.19,358.69,69.69,40.42,10.6,2.76,8.0,January,Winter,Christmas & New Year,387.0993023255814,Very Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-03 21:00:00,247.25,370.31,63.42,39.17,12.53,3.08,12.88,January,Winter,Christmas & New Year,397.88953488372096,Very Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-03 22:00:00,255.19,393.31,63.38,40.81,13.27,2.82,14.29,January,Winter,Christmas & New Year,401.9342,Severe,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-03 23:00:00,254.5,393.56,60.51,38.43,12.72,2.1,12.8,January,Winter,Christmas & New Year,401.81,Severe,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-04 00:00:00,215.62,339.31,67.61,37.88,8.3,1.84,11.5,January,Winter,Christmas & New Year,373.6153488372093,Very Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-04 01:00:00,222.44,360.0,69.92,38.48,9.13,1.44,10.0,January,Winter,Christmas & New Year,378.8493023255814,Very Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-04 02:00:00,197.88,332.06,46.57,31.31,10.86,0.83,9.72,January,Winter,Christmas & New Year,360.0009302325581,Very Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-04 03:00:00,153.19,260.69,52.03,33.88,10.91,0.51,9.68,January,Winter,Christmas & New Year,325.7039534883721,Very Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-04 04:00:00,130.38,219.06,44.59,33.07,8.15,0.35,9.07,January,Winter,Christmas & New Year,308.1986046511628,Very Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-04 05:00:00,112.44,185.56,41.76,33.21,6.67,0.28,7.04,January,Winter,Christmas & New Year,274.19172413793103,Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-04 06:00:00,116.6,194.5,44.45,34.34,8.63,0.44,6.17,January,Winter,Christmas & New Year,288.39310344827584,Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-04 07:00:00,121.5,209.81,50.06,34.32,9.87,0.64,7.22,January,Winter,Christmas & New Year,301.3837209302326,Very Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-04 08:00:00,144.5,248.62,52.85,33.97,8.11,0.68,6.07,January,Winter,Christmas & New Year,319.0348837209302,Very Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-04 09:00:00,158.77,274.62,56.64,34.3,12.18,0.84,6.72,January,Winter,Christmas & New Year,329.9862790697675,Very Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-04 10:00:00,168.56,293.88,41.33,34.46,11.57,0.51,9.47,January,Winter,Christmas & New Year,337.4995348837209,Very Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-04 11:00:00,178.62,311.88,51.02,37.28,9.11,0.83,10.05,January,Winter,Christmas & New Year,345.22,Very Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-04 12:00:00,179.25,328.33,54.91,40.84,9.73,1.02,10.66,January,Winter,Christmas & New Year,345.70348837209303,Very Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-04 13:00:00,180.69,343.06,54.01,42.13,9.42,0.99,10.57,January,Winter,Christmas & New Year,346.8086046511628,Very Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-04 14:00:00,175.62,323.81,54.01,43.45,10.09,0.97,12.06,January,Winter,Christmas & New Year,342.91767441860463,Very Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-04 15:00:00,173.5,309.25,52.64,40.88,9.69,0.93,10.26,January,Winter,Christmas & New Year,341.2906976744186,Very Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-04 16:00:00,162.31,284.81,53.64,39.87,8.92,0.97,9.97,January,Winter,Christmas & New Year,332.70302325581395,Very Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-04 17:00:00,167.75,287.62,54.62,43.18,8.67,1.14,8.68,January,Winter,Christmas & New Year,336.87790697674416,Very Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-04 18:00:00,166.19,291.56,55.67,46.24,10.42,1.15,6.34,January,Winter,Christmas & New Year,335.6806976744186,Very Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-04 19:00:00,161.81,290.38,55.07,42.09,9.86,1.56,6.64,January,Winter,Christmas & New Year,332.3193023255814,Very Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-04 20:00:00,166.62,298.25,52.83,43.44,10.21,1.29,6.68,January,Winter,Christmas & New Year,336.0106976744186,Very Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-04 21:00:00,154.23,278.88,50.87,44.54,10.7,1.12,8.04,January,Winter,Christmas & New Year,326.5020930232558,Very Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-04 22:00:00,139.12,255.56,47.32,46.15,11.68,0.95,11.81,January,Winter,Christmas & New Year,314.9060465116279,Very Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-04 23:00:00,130.62,242.19,46.14,44.51,10.73,0.99,10.79,January,Winter,Christmas & New Year,308.3827906976744,Very Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-05 00:00:00,156.0,288.58,52.44,56.04,9.76,0.75,8.95,January,Winter,Christmas & New Year,327.86046511627904,Very Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-05 01:00:00,136.92,266.33,50.69,55.51,8.03,0.64,7.93,January,Winter,Christmas & New Year,313.21767441860464,Very Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-05 02:00:00,126.58,248.83,40.08,63.05,9.51,0.6,9.66,January,Winter,Christmas & New Year,305.28232558139536,Very Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-05 03:00:00,117.17,226.17,53.24,53.64,8.66,0.44,12.12,January,Winter,Christmas & New Year,290.3389655172414,Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-05 04:00:00,98.58,188.0,48.3,54.78,8.22,0.37,10.97,January,Winter,Christmas & New Year,226.87655172413793,Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-05 05:00:00,83.83,162.25,43.19,56.62,8.28,0.35,9.76,January,Winter,Christmas & New Year,178.93689655172415,Moderate,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-05 06:00:00,79.0,152.33,44.93,59.58,10.32,0.34,8.99,January,Winter,Christmas & New Year,162.44827586206895,Moderate,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-05 07:00:00,78.33,154.42,46.48,56.23,8.91,0.38,9.54,January,Winter,Christmas & New Year,160.16103448275862,Moderate,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-05 08:00:00,80.17,171.25,48.51,55.45,8.25,0.5,11.55,January,Winter,Christmas & New Year,166.44241379310347,Moderate,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-05 09:00:00,84.44,177.0,40.71,42.8,6.75,0.76,8.95,January,Winter,Christmas & New Year,181.01931034482757,Moderate,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-05 10:00:00,99.69,202.62,41.22,38.7,6.73,0.85,35.38,January,Winter,Christmas & New Year,230.6658620689655,Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-05 11:00:00,115.69,231.5,44.89,44.66,7.44,1.23,35.34,January,Winter,Christmas & New Year,285.2865517241379,Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-05 12:00:00,134.75,250.38,46.88,45.83,6.45,1.09,12.4,January,Winter,Christmas & New Year,311.55232558139534,Very Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-05 13:00:00,136.88,246.44,51.31,47.87,7.35,1.18,18.39,January,Winter,Christmas & New Year,313.18697674418604,Very Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-05 14:00:00,146.21,263.21,51.43,49.69,7.77,1.22,12.3,January,Winter,Christmas & New Year,320.3472093023256,Very Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-05 15:00:00,149.75,267.75,47.22,46.53,7.77,1.14,11.48,January,Winter,Christmas & New Year,323.0639534883721,Very Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-05 16:00:00,124.44,231.12,43.28,45.43,8.02,1.1,11.01,January,Winter,Christmas & New Year,303.64,Very Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-05 17:00:00,120.52,207.38,46.19,44.35,7.58,1.38,15.24,January,Winter,Christmas & New Year,171.68201342281878,Moderate,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-05 18:00:00,141.5,228.31,52.61,49.75,8.46,1.49,12.25,January,Winter,Christmas & New Year,316.7325581395349,Very Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-05 19:00:00,134.56,218.44,51.1,44.44,7.29,1.33,10.21,January,Winter,Christmas & New Year,311.406511627907,Very Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-05 20:00:00,122.5,199.44,48.71,42.84,7.31,1.24,10.96,January,Winter,Christmas & New Year,302.1511627906977,Very Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-05 21:00:00,112.56,188.25,45.94,43.84,7.67,1.12,11.54,January,Winter,Christmas & New Year,274.60137931034484,Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-05 22:00:00,108.64,198.46,45.51,45.15,7.52,0.98,11.78,January,Winter,Christmas & New Year,261.2193103448276,Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-05 23:00:00,103.94,195.44,43.32,42.45,6.33,0.75,11.42,January,Winter,Christmas & New Year,245.17448275862068,Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-06 00:00:00,102.81,196.0,39.41,40.43,6.1,0.5,46.42,January,Winter,Christmas & New Year,241.31689655172414,Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-06 01:00:00,91.25,181.62,38.32,39.9,5.56,0.47,16.24,January,Winter,Christmas & New Year,201.85344827586206,Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-06 02:00:00,88.75,175.25,24.63,45.04,4.99,0.41,14.4,January,Winter,Christmas & New Year,195.73275862068965,Moderate,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-06 03:00:00,82.31,156.88,34.33,37.66,5.79,0.34,13.16,January,Winter,Christmas & New Year,173.74793103448275,Moderate,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-06 04:00:00,83.56,152.69,32.53,36.74,5.55,0.35,12.0,January,Winter,Christmas & New Year,178.0151724137931,Moderate,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-06 05:00:00,82.17,152.88,31.92,37.91,7.82,0.44,13.14,January,Winter,Christmas & New Year,173.27,Moderate,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-06 06:00:00,81.94,153.12,32.59,38.9,7.55,0.46,19.23,January,Winter,Christmas & New Year,172.4848275862069,Moderate,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-06 07:00:00,82.19,150.25,33.7,36.83,6.8,0.52,20.21,January,Winter,Christmas & New Year,173.33827586206894,Moderate,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-06 08:00:00,84.5,160.0,37.2,36.0,6.48,0.57,11.14,January,Winter,Christmas & New Year,181.22413793103448,Moderate,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-06 09:00:00,97.75,180.38,37.1,39.52,8.21,0.57,15.24,January,Winter,Christmas & New Year,224.04310344827587,Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-06 10:00:00,110.92,196.56,37.99,39.51,7.94,0.68,21.88,January,Winter,Christmas & New Year,269.00275862068963,Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-06 11:00:00,109.19,202.0,34.18,40.56,7.95,0.56,14.5,January,Winter,Christmas & New Year,263.0968965517241,Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-06 12:00:00,113.06,199.81,38.72,37.7,6.56,0.81,23.48,January,Winter,Christmas & New Year,276.30827586206897,Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-06 13:00:00,119.35,210.9,39.57,35.43,6.21,0.79,26.25,January,Winter,Christmas & New Year,297.7810344827586,Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-06 14:00:00,122.12,215.94,44.9,37.36,8.15,0.79,35.92,January,Winter,Christmas & New Year,301.8595348837209,Very Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-06 15:00:00,132.19,227.62,48.52,37.49,8.34,0.8,41.66,January,Winter,Christmas & New Year,309.58767441860465,Very Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-06 16:00:00,133.12,232.83,50.29,35.3,6.04,0.7,59.61,January,Winter,Christmas & New Year,310.3013953488372,Very Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-06 17:00:00,142.35,251.58,56.8,36.44,6.29,0.96,26.98,January,Winter,Christmas & New Year,317.38488372093025,Very Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-06 18:00:00,164.25,289.19,65.76,36.59,8.51,1.22,14.61,January,Winter,Christmas & New Year,334.1918604651163,Very Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
2024-01-06 19:00:00,199.36,348.5,68.66,39.6,12.68,1.48,10.51,January,Winter,Christmas & New Year,361.13674418604654,Very Poor,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
