TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,51.75,115.75,19.05,12.48,20.7,0.62,28.1,January,Winter,Christmas & New Year,110.8003355704698,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-01 01:00:00,48.25,104.25,19.3,12.0,20.42,0.66,27.7,January,Winter,Christmas & New Year,103.15939597315436,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-01 02:00:00,58.25,112.0,19.25,11.8,20.27,0.62,27.55,January,Winter,Christmas & New Year,108.30872483221476,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-01 03:00:00,78.25,138.0,18.98,11.12,19.12,0.62,26.1,January,Winter,Christmas & New Year,159.88793103448276,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-01 04:00:00,73.0,132.0,17.75,10.92,17.25,0.62,23.75,January,Winter,Christmas & New Year,141.9655172413793,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-01 05:00:00,48.25,97.0,17.35,11.08,17.42,0.6,23.88,January,Winter,Christmas & New Year,97.0,Satisfactory,Katihar,Bihar,25.5586421,87.6457196
2024-01-01 06:00:00,53.0,101.25,17.23,11.02,17.8,0.6,24.45,January,Winter,Christmas & New Year,101.16610738255034,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-01 07:00:00,55.25,111.0,17.4,11.38,18.37,0.62,25.1,January,Winter,Christmas & New Year,107.64429530201342,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-01 08:00:00,62.25,127.5,17.97,11.47,21.1,0.58,28.5,January,Winter,Christmas & New Year,118.60738255033557,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-01 09:00:00,59.25,121.0,18.45,11.2,21.15,0.58,28.65,January,Winter,Christmas & New Year,114.28859060402685,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-01 10:00:00,60.25,117.75,19.38,11.75,20.48,0.58,27.82,January,Winter,Christmas & New Year,112.12919463087249,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-01 11:00:00,61.75,124.25,21.0,12.0,19.6,0.57,26.7,January,Winter,Christmas & New Year,116.44798657718121,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-01 12:00:00,64.0,134.0,21.35,12.6,15.7,0.58,21.78,January,Winter,Christmas & New Year,122.9261744966443,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-01 13:00:00,60.0,127.0,21.75,13.35,15.45,0.62,21.45,January,Winter,Christmas & New Year,118.2751677852349,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-01 14:00:00,60.25,115.25,22.5,13.55,14.98,0.62,20.85,January,Winter,Christmas & New Year,110.46812080536913,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-01 15:00:00,62.25,93.75,22.45,13.8,16.08,0.62,22.25,January,Winter,Christmas & New Year,105.26724137931035,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-01 16:00:00,63.75,134.25,23.4,14.6,17.85,0.64,24.48,January,Winter,Christmas & New Year,123.09228187919463,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-01 17:00:00,68.5,144.5,23.22,14.62,18.88,0.67,25.78,January,Winter,Christmas & New Year,129.90268456375838,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-01 18:00:00,78.75,166.0,22.25,14.25,18.25,0.62,24.98,January,Winter,Christmas & New Year,161.5948275862069,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-01 19:00:00,84.75,173.75,21.3,13.7,18.08,0.66,24.78,January,Winter,Christmas & New Year,182.07758620689657,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-01 20:00:00,85.25,174.75,19.68,13.15,15.42,0.68,21.42,January,Winter,Christmas & New Year,183.7844827586207,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-01 21:00:00,89.5,182.5,17.92,12.95,15.0,0.69,20.92,January,Winter,Christmas & New Year,198.29310344827587,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-01 22:00:00,88.0,186.0,16.8,12.3,15.3,0.68,21.25,January,Winter,Christmas & New Year,193.17241379310343,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-01 23:00:00,89.0,181.5,15.88,11.98,15.55,0.69,21.6,January,Winter,Christmas & New Year,196.58620689655172,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-02 00:00:00,87.75,187.25,15.6,11.78,17.8,0.66,24.45,January,Winter,Christmas & New Year,192.3189655172414,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-02 01:00:00,81.75,176.0,16.3,11.22,18.45,0.68,25.25,January,Winter,Christmas & New Year,171.83620689655174,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-02 02:00:00,80.25,175.75,16.4,10.85,18.65,0.68,25.48,January,Winter,Christmas & New Year,166.7155172413793,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-02 03:00:00,86.0,195.0,16.42,10.92,17.95,0.68,24.62,January,Winter,Christmas & New Year,186.3448275862069,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-02 04:00:00,73.0,161.0,16.58,10.52,15.85,0.67,21.92,January,Winter,Christmas & New Year,141.9655172413793,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-02 05:00:00,54.25,115.75,15.9,10.65,15.4,0.66,21.4,January,Winter,Christmas & New Year,110.8003355704698,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-02 06:00:00,50.75,112.5,15.6,10.4,15.28,0.65,21.25,January,Winter,Christmas & New Year,108.64093959731544,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-02 07:00:00,51.25,116.5,15.7,10.62,15.0,0.67,20.9,January,Winter,Christmas & New Year,111.29865771812081,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-02 08:00:00,61.5,134.25,15.4,11.07,18.3,0.67,25.1,January,Winter,Christmas & New Year,123.09228187919463,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-02 09:00:00,80.0,178.0,17.0,11.15,18.05,0.67,24.75,January,Winter,Christmas & New Year,165.86206896551724,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-02 10:00:00,73.75,174.25,18.95,11.68,18.12,0.7,24.8,January,Winter,Christmas & New Year,149.66946308724832,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-02 11:00:00,77.25,160.5,21.0,12.4,17.93,0.68,24.6,January,Winter,Christmas & New Year,156.47413793103448,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-02 12:00:00,82.75,159.5,25.35,12.62,16.08,0.62,22.25,January,Winter,Christmas & New Year,175.25,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-02 13:00:00,82.5,158.5,23.6,14.08,14.78,0.62,20.62,January,Winter,Christmas & New Year,174.39655172413794,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-02 14:00:00,73.5,149.0,23.52,14.7,14.4,0.65,20.15,January,Winter,Christmas & New Year,143.67241379310343,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-02 15:00:00,70.75,145.0,24.6,15.45,14.85,0.65,20.75,January,Winter,Christmas & New Year,134.2844827586207,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-02 16:00:00,71.0,148.0,25.15,16.3,16.55,0.65,22.85,January,Winter,Christmas & New Year,135.13793103448276,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-02 17:00:00,78.5,173.25,25.18,17.65,18.2,0.7,24.92,January,Winter,Christmas & New Year,160.74137931034483,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-02 18:00:00,108.75,236.5,24.15,18.9,18.35,0.72,25.15,January,Winter,Christmas & New Year,261.5948275862069,Poor,Katihar,Bihar,25.5586421,87.6457196
2024-01-02 19:00:00,167.75,328.0,22.7,18.73,18.55,0.72,25.4,January,Winter,Christmas & New Year,336.87790697674416,Very Poor,Katihar,Bihar,25.5586421,87.6457196
2024-01-02 20:00:00,194.5,359.5,21.8,18.73,17.35,0.72,23.88,January,Winter,Christmas & New Year,357.40697674418607,Very Poor,Katihar,Bihar,25.5586421,87.6457196
2024-01-02 21:00:00,183.0,341.0,19.6,19.2,15.63,0.73,21.7,January,Winter,Christmas & New Year,348.5813953488372,Very Poor,Katihar,Bihar,25.5586421,87.6457196
2024-01-02 22:00:00,207.67,397.0,17.5,20.0,15.17,0.75,21.13,January,Winter,Christmas & New Year,367.5141860465116,Very Poor,Katihar,Bihar,25.5586421,87.6457196
2024-01-02 23:00:00,221.0,400.0,16.5,18.77,15.2,0.76,21.15,January,Winter,Christmas & New Year,377.74418604651163,Very Poor,Katihar,Bihar,25.5586421,87.6457196
2024-01-03 00:00:00,152.5,275.5,16.08,16.73,16.25,0.73,22.48,January,Winter,Christmas & New Year,325.1744186046512,Very Poor,Katihar,Bihar,25.5586421,87.6457196
2024-01-03 01:00:00,134.5,247.25,16.58,14.85,17.68,0.73,24.25,January,Winter,Christmas & New Year,311.36046511627904,Very Poor,Katihar,Bihar,25.5586421,87.6457196
2024-01-03 02:00:00,113.75,212.5,17.38,13.3,17.77,0.74,24.4,January,Winter,Christmas & New Year,278.66379310344826,Poor,Katihar,Bihar,25.5586421,87.6457196
2024-01-03 03:00:00,107.0,193.25,17.1,12.32,17.85,0.72,24.42,January,Winter,Christmas & New Year,255.6206896551724,Poor,Katihar,Bihar,25.5586421,87.6457196
2024-01-03 04:00:00,88.25,154.0,16.85,12.02,17.23,0.71,23.7,January,Winter,Christmas & New Year,194.02586206896552,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-03 05:00:00,83.75,149.0,16.42,12.15,14.82,0.71,20.7,January,Winter,Christmas & New Year,178.66379310344826,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-03 06:00:00,78.5,140.25,15.42,11.8,14.78,0.71,20.58,January,Winter,Christmas & New Year,160.74137931034483,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-03 07:00:00,76.25,134.25,14.85,10.95,14.83,0.7,20.67,January,Winter,Christmas & New Year,153.06034482758622,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-03 08:00:00,75.0,138.75,14.4,10.6,15.0,0.73,21.0,January,Winter,Christmas & New Year,148.79310344827587,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-03 09:00:00,77.25,150.75,16.7,11.4,17.1,0.7,23.55,January,Winter,Christmas & New Year,156.47413793103448,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-03 10:00:00,74.75,157.25,22.55,12.25,17.7,0.68,24.3,January,Winter,Christmas & New Year,147.93965517241378,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-03 11:00:00,75.5,159.0,24.78,13.48,17.43,0.7,24.0,January,Winter,Christmas & New Year,150.5,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-03 12:00:00,78.0,142.75,32.67,15.15,16.77,0.66,23.12,January,Winter,Christmas & New Year,159.0344827586207,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-03 13:00:00,64.5,101.75,28.45,15.75,14.62,0.7,20.42,January,Winter,Christmas & New Year,112.94827586206897,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-03 14:00:00,52.25,114.25,27.7,16.77,13.8,0.62,19.35,January,Winter,Christmas & New Year,109.80369127516778,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-03 15:00:00,42.5,98.0,27.65,17.38,13.82,0.62,19.38,January,Winter,Christmas & New Year,98.0,Satisfactory,Katihar,Bihar,25.5586421,87.6457196
2024-01-03 16:00:00,43.75,121.25,28.12,18.1,13.98,0.64,19.6,January,Winter,Christmas & New Year,114.45469798657719,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-03 17:00:00,61.0,201.0,27.48,22.2,16.75,0.62,23.08,January,Winter,Christmas & New Year,167.4429530201342,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-03 18:00:00,89.0,237.75,26.38,25.28,17.82,0.64,24.45,January,Winter,Christmas & New Year,196.58620689655172,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-03 19:00:00,113.25,259.0,25.72,26.65,18.08,0.68,24.78,January,Winter,Christmas & New Year,276.9568965517241,Poor,Katihar,Bihar,25.5586421,87.6457196
2024-01-03 20:00:00,167.0,343.5,25.15,26.58,18.1,0.62,24.8,January,Winter,Christmas & New Year,336.30232558139534,Very Poor,Katihar,Bihar,25.5586421,87.6457196
2024-01-03 21:00:00,187.25,356.5,23.62,23.35,16.2,0.64,22.4,January,Winter,Christmas & New Year,351.84302325581393,Very Poor,Katihar,Bihar,25.5586421,87.6457196
2024-01-03 22:00:00,186.5,350.25,20.7,21.8,14.7,0.64,20.5,January,Winter,Christmas & New Year,351.2674418604651,Very Poor,Katihar,Bihar,25.5586421,87.6457196
2024-01-03 23:00:00,194.0,352.0,18.95,19.05,14.68,0.64,20.52,January,Winter,Christmas & New Year,357.0232558139535,Very Poor,Katihar,Bihar,25.5586421,87.6457196
2024-01-04 00:00:00,162.25,294.5,18.0,16.52,14.62,0.62,20.38,January,Winter,Christmas & New Year,332.65697674418607,Very Poor,Katihar,Bihar,25.5586421,87.6457196
2024-01-04 01:00:00,192.25,343.25,17.45,15.15,16.02,0.58,22.22,January,Winter,Christmas & New Year,355.68023255813955,Very Poor,Katihar,Bihar,25.5586421,87.6457196
2024-01-04 02:00:00,144.25,263.0,17.62,14.02,16.98,0.58,23.35,January,Winter,Christmas & New Year,318.84302325581393,Very Poor,Katihar,Bihar,25.5586421,87.6457196
2024-01-04 03:00:00,108.5,203.5,17.68,13.25,17.23,0.58,23.72,January,Winter,Christmas & New Year,260.7413793103448,Poor,Katihar,Bihar,25.5586421,87.6457196
2024-01-04 04:00:00,101.0,185.0,17.5,12.32,17.0,0.54,23.45,January,Winter,Christmas & New Year,235.13793103448276,Poor,Katihar,Bihar,25.5586421,87.6457196
2024-01-04 05:00:00,76.0,133.75,17.1,11.62,15.78,0.53,21.88,January,Winter,Christmas & New Year,152.20689655172413,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-04 06:00:00,66.75,123.75,16.18,11.65,14.05,0.54,19.68,January,Winter,Christmas & New Year,120.62931034482759,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-04 07:00:00,81.0,156.75,16.05,12.25,14.0,0.62,19.67,January,Winter,Christmas & New Year,169.27586206896552,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-04 08:00:00,111.75,216.0,16.43,12.67,13.9,0.61,19.5,January,Winter,Christmas & New Year,271.83620689655174,Poor,Katihar,Bihar,25.5586421,87.6457196
2024-01-04 09:00:00,112.5,212.75,19.2,13.4,15.2,0.6,21.2,January,Winter,Christmas & New Year,274.3965517241379,Poor,Katihar,Bihar,25.5586421,87.6457196
2024-01-04 10:00:00,88.25,170.5,21.25,13.28,17.0,0.58,23.48,January,Winter,Christmas & New Year,194.02586206896552,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-04 11:00:00,76.5,157.25,23.32,13.25,16.97,0.56,23.37,January,Winter,Christmas & New Year,153.91379310344828,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-04 12:00:00,83.75,167.75,31.28,14.88,16.92,0.62,23.28,January,Winter,Christmas & New Year,178.66379310344826,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-04 13:00:00,84.0,167.25,34.02,16.25,16.42,0.62,22.72,January,Winter,Christmas & New Year,179.51724137931035,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-04 14:00:00,60.25,127.75,28.65,16.58,14.1,0.62,19.77,January,Winter,Christmas & New Year,118.77348993288591,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-04 15:00:00,53.5,125.75,27.28,16.9,13.72,0.62,19.27,January,Winter,Christmas & New Year,117.44463087248323,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-04 16:00:00,53.75,147.25,28.1,18.4,14.15,0.62,19.8,January,Winter,Christmas & New Year,131.7298657718121,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-04 17:00:00,68.0,202.25,25.52,20.82,14.78,0.71,20.6,January,Winter,Christmas & New Year,168.27348993288592,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-04 18:00:00,108.5,300.25,24.55,25.18,17.83,0.73,24.45,January,Winter,Christmas & New Year,260.7413793103448,Poor,Katihar,Bihar,25.5586421,87.6457196
2024-01-04 19:00:00,153.75,439.75,23.8,27.78,18.18,0.52,24.88,January,Winter,Christmas & New Year,406.6779411764706,Severe,Katihar,Bihar,25.5586421,87.6457196
2024-01-04 20:00:00,163.5,339.25,23.32,28.82,18.12,0.62,24.85,January,Winter,Christmas & New Year,333.6162790697674,Very Poor,Katihar,Bihar,25.5586421,87.6457196
2024-01-04 21:00:00,211.0,398.67,22.3,27.87,17.83,0.56,24.4,January,Winter,Christmas & New Year,370.06976744186045,Very Poor,Katihar,Bihar,25.5586421,87.6457196
2024-01-04 22:00:00,243.0,442.0,21.17,24.53,15.6,0.62,21.67,January,Winter,Christmas & New Year,407.98823529411766,Severe,Katihar,Bihar,25.5586421,87.6457196
2024-01-04 23:00:00,242.5,441.0,19.18,21.42,14.55,0.62,20.3,January,Winter,Christmas & New Year,407.40588235294115,Severe,Katihar,Bihar,25.5586421,87.6457196
2024-01-05 00:00:00,154.5,283.5,17.95,18.25,14.72,0.62,20.5,January,Winter,Christmas & New Year,326.7093023255814,Very Poor,Katihar,Bihar,25.5586421,87.6457196
2024-01-05 01:00:00,103.25,208.25,17.25,16.38,14.28,0.65,19.98,January,Winter,Christmas & New Year,242.8189655172414,Poor,Katihar,Bihar,25.5586421,87.6457196
2024-01-05 02:00:00,113.0,212.75,17.05,15.4,16.42,0.63,22.7,January,Winter,Christmas & New Year,276.1034482758621,Poor,Katihar,Bihar,25.5586421,87.6457196
2024-01-05 03:00:00,125.5,231.5,17.85,10.95,17.55,0.54,24.12,January,Winter,Christmas & New Year,304.45348837209303,Very Poor,Katihar,Bihar,25.5586421,87.6457196
2024-01-05 04:00:00,98.75,197.75,18.08,2.5,17.02,0.68,23.48,January,Winter,Christmas & New Year,227.45689655172413,Poor,Katihar,Bihar,25.5586421,87.6457196
2024-01-05 05:00:00,79.75,156.25,18.4,11.33,17.15,0.68,23.62,January,Winter,Christmas & New Year,165.00862068965517,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-05 06:00:00,87.75,169.25,17.85,13.5,14.82,0.62,20.68,January,Winter,Christmas & New Year,192.3189655172414,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-05 07:00:00,70.5,142.25,16.8,14.75,13.7,0.58,19.23,January,Winter,Christmas & New Year,133.4310344827586,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-05 08:00:00,80.25,166.75,16.67,14.4,13.9,0.45,19.5,January,Winter,Christmas & New Year,166.7155172413793,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-05 09:00:00,98.0,203.0,19.0,14.85,13.65,0.35,19.2,January,Winter,Christmas & New Year,224.89655172413794,Poor,Katihar,Bihar,25.5586421,87.6457196
2024-01-05 10:00:00,103.0,215.67,22.93,16.3,15.87,0.39,22.0,January,Winter,Christmas & New Year,241.9655172413793,Poor,Katihar,Bihar,25.5586421,87.6457196
2024-01-05 11:00:00,91.5,190.0,47.6,17.73,17.3,0.38,23.8,January,Winter,Christmas & New Year,202.70689655172413,Poor,Katihar,Bihar,25.5586421,87.6457196
2024-01-05 12:00:00,64.5,143.25,37.05,18.9,17.4,0.62,23.95,January,Winter,Christmas & New Year,129.0721476510067,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-05 13:00:00,53.5,126.0,35.45,18.77,17.92,0.62,24.58,January,Winter,Christmas & New Year,117.61073825503355,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-05 14:00:00,42.5,109.75,33.1,18.45,16.27,0.64,22.55,January,Winter,Christmas & New Year,106.81375838926175,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-05 15:00:00,34.0,108.25,30.0,17.88,14.38,0.62,20.1,January,Winter,Christmas & New Year,105.81711409395973,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-05 16:00:00,39.0,128.75,28.65,17.85,14.48,0.63,20.23,January,Winter,Christmas & New Year,119.43791946308725,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-05 17:00:00,53.25,203.33,25.98,21.55,14.65,0.58,20.45,January,Winter,Christmas & New Year,168.99107382550335,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-05 18:00:00,110.25,340.5,25.1,29.02,17.0,0.62,23.38,January,Winter,Christmas & New Year,290.5,Poor,Katihar,Bihar,25.5586421,87.6457196
2024-01-05 19:00:00,234.5,520.75,26.72,30.77,18.73,0.66,25.58,January,Winter,Christmas & New Year,453.84852941176473,Severe,Katihar,Bihar,25.5586421,87.6457196
2024-01-05 20:00:00,239.75,486.0,26.05,30.5,19.38,0.62,26.42,January,Winter,Christmas & New Year,433.61176470588236,Severe,Katihar,Bihar,25.5586421,87.6457196
2024-01-05 21:00:00,241.75,465.5,25.02,28.35,18.98,0.62,25.92,January,Winter,Christmas & New Year,421.6735294117647,Severe,Katihar,Bihar,25.5586421,87.6457196
2024-01-05 22:00:00,194.5,388.25,23.82,25.1,17.55,0.62,24.1,January,Winter,Christmas & New Year,357.40697674418607,Very Poor,Katihar,Bihar,25.5586421,87.6457196
2024-01-05 23:00:00,168.5,335.0,21.58,22.95,15.32,0.62,21.32,January,Winter,Christmas & New Year,337.45348837209303,Very Poor,Katihar,Bihar,25.5586421,87.6457196
2024-01-06 00:00:00,165.75,276.75,20.08,20.15,14.98,0.62,20.85,January,Winter,Christmas & New Year,335.34302325581393,Very Poor,Katihar,Bihar,25.5586421,87.6457196
2024-01-06 01:00:00,172.25,207.25,19.05,17.62,14.9,0.62,20.78,January,Winter,Christmas & New Year,340.3313953488372,Very Poor,Katihar,Bihar,25.5586421,87.6457196
2024-01-06 02:00:00,120.75,231.25,18.83,16.3,15.32,0.62,21.3,January,Winter,Christmas & New Year,187.54194630872485,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-06 03:00:00,115.0,233.5,19.68,15.2,17.95,0.62,24.65,January,Winter,Christmas & New Year,282.9310344827586,Poor,Katihar,Bihar,25.5586421,87.6457196
2024-01-06 04:00:00,111.0,222.5,20.48,14.5,17.22,0.62,23.7,January,Winter,Christmas & New Year,269.2758620689655,Poor,Katihar,Bihar,25.5586421,87.6457196
2024-01-06 05:00:00,109.0,214.5,20.6,14.18,17.42,0.62,24.0,January,Winter,Christmas & New Year,262.44827586206895,Poor,Katihar,Bihar,25.5586421,87.6457196
2024-01-06 06:00:00,103.25,208.25,20.72,14.12,17.42,0.62,23.95,January,Winter,Christmas & New Year,242.8189655172414,Poor,Katihar,Bihar,25.5586421,87.6457196
2024-01-06 07:00:00,112.25,230.0,20.32,15.12,14.77,0.62,20.6,January,Winter,Christmas & New Year,273.5431034482759,Poor,Katihar,Bihar,25.5586421,87.6457196
2024-01-06 08:00:00,131.0,280.0,20.17,15.7,14.5,0.6,20.2,January,Winter,Christmas & New Year,308.6744186046512,Very Poor,Katihar,Bihar,25.5586421,87.6457196
2024-01-06 09:00:00,147.25,300.0,21.4,16.2,14.25,0.61,19.9,January,Winter,Christmas & New Year,321.1453488372093,Very Poor,Katihar,Bihar,25.5586421,87.6457196
2024-01-06 10:00:00,166.25,323.75,33.88,16.73,14.9,0.61,20.75,January,Winter,Christmas & New Year,335.7267441860465,Very Poor,Katihar,Bihar,25.5586421,87.6457196
2024-01-06 11:00:00,145.0,279.0,33.72,18.32,17.27,0.6,23.77,January,Winter,Christmas & New Year,319.4186046511628,Very Poor,Katihar,Bihar,25.5586421,87.6457196
2024-01-06 12:00:00,116.75,236.0,31.18,19.23,17.55,0.62,24.12,January,Winter,Christmas & New Year,288.9051724137931,Poor,Katihar,Bihar,25.5586421,87.6457196
2024-01-06 13:00:00,105.5,224.75,30.95,18.88,17.4,0.82,23.9,January,Winter,Christmas & New Year,250.5,Poor,Katihar,Bihar,25.5586421,87.6457196
2024-01-06 14:00:00,104.5,220.75,30.58,18.38,17.4,0.62,23.98,January,Winter,Christmas & New Year,247.08620689655172,Poor,Katihar,Bihar,25.5586421,87.6457196
2024-01-06 15:00:00,90.5,206.0,29.25,17.48,14.98,0.62,20.85,January,Winter,Christmas & New Year,170.76510067114094,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-06 16:00:00,86.75,200.25,27.75,17.68,14.78,0.62,20.62,January,Winter,Christmas & New Year,188.90517241379308,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-06 17:00:00,100.25,233.5,27.72,20.4,14.95,0.62,20.8,January,Winter,Christmas & New Year,232.57758620689654,Poor,Katihar,Bihar,25.5586421,87.6457196
2024-01-06 18:00:00,134.75,300.25,26.83,23.52,14.98,0.62,20.82,January,Winter,Christmas & New Year,311.55232558139534,Very Poor,Katihar,Bihar,25.5586421,87.6457196
2024-01-06 19:00:00,162.5,345.5,25.35,24.28,17.22,0.66,23.68,January,Winter,Christmas & New Year,332.8488372093023,Very Poor,Katihar,Bihar,25.5586421,87.6457196
2024-01-06 20:00:00,160.5,323.75,25.48,21.95,17.95,0.62,24.62,January,Winter,Christmas & New Year,331.3139534883721,Very Poor,Katihar,Bihar,25.5586421,87.6457196
2024-01-06 21:00:00,160.5,319.0,24.95,20.05,17.7,0.62,24.3,January,Winter,Christmas & New Year,331.3139534883721,Very Poor,Katihar,Bihar,25.5586421,87.6457196
2024-01-06 22:00:00,160.25,320.0,24.23,19.2,17.25,0.62,23.75,January,Winter,Christmas & New Year,331.12209302325584,Very Poor,Katihar,Bihar,25.5586421,87.6457196
2024-01-06 23:00:00,138.5,276.25,23.7,2.57,15.35,0.62,21.32,January,Winter,Christmas & New Year,314.43023255813955,Very Poor,Katihar,Bihar,25.5586421,87.6457196
2024-01-07 00:00:00,122.5,242.0,21.9,18.1,14.1,0.62,19.7,January,Winter,Christmas & New Year,302.1511627906977,Very Poor,Katihar,Bihar,25.5586421,87.6457196
2024-01-07 01:00:00,106.5,219.75,20.27,16.23,13.85,0.49,19.42,January,Winter,Christmas & New Year,253.91379310344828,Poor,Katihar,Bihar,25.5586421,87.6457196
2024-01-07 02:00:00,90.5,189.0,19.85,15.25,13.8,0.5,19.4,January,Winter,Christmas & New Year,159.46979865771812,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-07 03:00:00,66.0,133.25,19.95,14.85,15.7,0.5,21.8,January,Winter,Christmas & New Year,122.4278523489933,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-07 04:00:00,60.75,126.25,21.53,14.35,17.5,0.51,24.05,January,Winter,Christmas & New Year,117.77684563758389,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-07 05:00:00,57.25,127.25,22.42,14.1,17.08,0.5,23.55,January,Winter,Christmas & New Year,118.44127516778524,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-07 06:00:00,62.5,142.5,22.62,13.95,17.18,0.48,23.58,January,Winter,Christmas & New Year,128.5738255033557,Moderate,Katihar,Bihar,25.5586421,87.6457196
2024-01-07 07:00:00,64.0,154.5,22.25,13.82,16.53,0.49,22.8,January,Winter,Christmas & New Year,136.54697986577182,Moderate,Katihar,Bihar,25.5586421,87.6457196
